# Real Imaginary
-8.0689063765116385e+05 -8.6643995569008166e+03
-8.0689063765116385e+05 8.6643995569008166e+03
-8.0691543969803886e+05 -6.1891087450264522e+03
-8.0691543969803886e+05 6.1891087450264522e+03
7.8066973064564529e+05 2.0422092537138169e+05
7.8066973064564529e+05 -2.0422092537138169e+05
6.9919811469788640e+05 4.0283233431407268e+05
6.9919811469788640e+05 -4.0283233431407268e+05
-8.0693196847888944e+05 -3.7135665854479662e+03
-8.0693196847888944e+05 3.7135665854479662e+03
-8.0694023235590733e+05 1.2378737838349691e+03
-8.0694023235590733e+05 -1.2378737838349691e+03
7.3042536917040974e+05 3.4302807674478675e+05
7.3042536917040974e+05 -3.4302807674478675e+05
7.0051708748532808e+05 -4.0059187753109727e+05
7.0051708748532808e+05 4.0059187753109727e+05
5.7060444130198320e+05 -5.7063411642434157e+05
5.7060444130198320e+05 5.7063411642434157e+05
7.8134354040291090e+05 -2.0178644307030493e+05
7.8134354040291090e+05 2.0178644307030493e+05
7.0182770189156733e+05 -3.9834647960302833e+05
7.0182770189156733e+05 3.9834647960302833e+05
7.2935741734866030e+05 -3.4537396390506439e+05
7.2935741734866030e+05 3.4537396390506439e+05
7.0312985274262691e+05 3.9609602138096391e+05
7.0312985274262691e+05 -3.9609602138096391e+05
7.8201849366519821e+05 1.9934490505812597e+05
7.8201849366519821e+05 -1.9934490505812597e+05
5.6882290301544196e+05 5.7247894368507282e+05
5.6882290301544196e+05 -5.7247894368507282e+05
7.2827735244772979e+05 3.4771869748604449e+05
7.2827735244772979e+05 -3.4771869748604449e+05
7.0442339754732349e+05 -3.9384044153254631e+05
7.0442339754732349e+05 3.9384044153254631e+05
7.2718539365309256e+05 -3.5006163547691307e+05
7.2718539365309256e+05 3.5006163547691307e+05
7.0570821971836698e+05 -3.9157967500682839e+05
7.0570821971836698e+05 3.9157967500682839e+05
5.6703244016524253e+05 5.7432133278386120e+05
5.6703244016524253e+05 -5.7432133278386120e+05
7.8269237075215264e+05 1.9689459266386769e+05
7.8269237075215264e+05 -1.9689459266386769e+05
7.2608174443287181e+05 3.5240221748389082e+05
7.2608174443287181e+05 -3.5240221748389082e+05
7.0698416496432025e+05 3.8931370755186747e+05
7.0698416496432025e+05 -3.8931370755186747e+05
7.2496664036588930e+05 3.5474002957964584e+05
7.2496664036588930e+05 -3.5474002957964584e+05
7.0825111699506920e+05 3.8704253008336050e+05
7.0825111699506920e+05 -3.8704253008336050e+05
7.2384027976079274e+05 3.5707468590215972e+05
7.2384027976079274e+05 -3.5707468590215972e+05
7.0950891826832690e+05 3.8476616558278818e+05
7.0950891826832690e+05 -3.8476616558278818e+05
5.6523255892426590e+05 5.7616052996873704e+05
5.6523255892426590e+05 -5.7616052996873704e+05
7.8336293625499483e+05 -1.9443472776920462e+05
7.8336293625499483e+05 1.9443472776920462e+05
7.1075745344980247e+05 3.8248465183032805e+05
7.1075745344980247e+05 -3.8248465183032805e+05
7.2270288089276303e+05 3.5940590974318859e+05
7.2270288089276303e+05 -3.5940590974318859e+05
7.1199656772630010e+05 -3.8019804456655937e+05
7.1199656772630010e+05 3.8019804456655937e+05
7.2155460849524429e+05 -3.6173341864335944e+05
7.2155460849524429e+05 3.6173341864335944e+05
7.1322614800102357e+05 -3.7790641956984688e+05
7.1322614800102357e+05 3.7790641956984688e+05
7.2039566425297689e+05 3.6405700856931182e+05
7.2039566425297689e+05 -3.6405700856931182e+05
7.1444604276262713e+05 3.7560985640345147e+05
7.1444604276262713e+05 -3.7560985640345147e+05
7.1922618273078580e+05 -3.6637646987831098e+05
7.1922618273078580e+05 3.6637646987831098e+05
7.1565613565971958e+05 3.7330846331746643e+05
7.1565613565971958e+05 -3.7330846331746643e+05
7.1804634645750886e+05 -3.6869163511468604e+05
7.1804634645750886e+05 3.6869163511468604e+05
5.6342298450159584e+05 -5.7799574186953541e+05
5.6342298450159584e+05 5.7799574186953541e+05
7.1685627747544937e+05 -3.7100234612022911e+05
7.1685627747544937e+05 3.7100234612022911e+05
7.8402815255029767e+05 -1.9196542634212924e+05
7.8402815255029767e+05 1.9196542634212924e+05
5.6160368633313035e+05 5.7982624705655547e+05
5.6160368633313035e+05 -5.7982624705655547e+05
7.8468653145129397e+05 -1.8948714023543787e+05
7.8468653145129397e+05 1.8948714023543787e+05
5.5977474169144500e+05 5.8165139313167450e+05
5.5977474169144500e+05 -5.8165139313167450e+05
7.8533690944285365e+05 -1.8700062217563769e+05
7.8533690944285365e+05 1.8700062217563769e+05
5.5793636312351702e+05 5.8347064008876728e+05
5.5793636312351702e+05 -5.8347064008876728e+05
5.5608878264960693e+05 5.8528352763875993e+05
5.5608878264960693e+05 -5.8528352763875993e+05
7.8597857209504559e+05 -1.8450656012874187e+05
7.8597857209504559e+05 1.8450656012874187e+05
5.5423230553870136e+05 5.8708968560303550e+05
5.5423230553870136e+05 -5.8708968560303550e+05
7.8661094464910845e+05 1.8200570406577093e+05
7.8661094464910845e+05 -1.8200570406577093e+05
5.5236721522970335e+05 5.8888881134185754e+05
5.5236721522970335e+05 -5.8888881134185754e+05
5.5049383712507039e+05 -5.9068065769801405e+05
5.5049383712507039e+05 5.9068065769801405e+05
7.8723374655825098e+05 1.7949864671355946e+05
7.8723374655825098e+05 -1.7949864671355946e+05
5.4861247000749945e+05 5.9246503407269041e+05
5.4861247000749945e+05 -5.9246503407269041e+05
-5.5120542779013654e+05 -5.9006772802270809e+05
-5.5120542779013654e+05 5.9006772802270809e+05
7.8784669299850299e+05 1.7698598305312856e+05
7.8784669299850299e+05 -1.7698598305312856e+05
5.4672343504912278e+05 -5.9424178747650329e+05
5.4672343504912278e+05 5.9424178747650329e+05
5.4482702827742184e+05 5.9601080942148354e+05
5.4482702827742184e+05 -5.9601080942148354e+05
7.8844970241730276e+05 -1.7446817930628790e+05
7.8844970241730276e+05 1.7446817930628790e+05
5.4292356045403029e+05 5.9777201836114516e+05
5.4292356045403029e+05 -5.9777201836114516e+05
5.4101332306253025e+05 5.9952537132751162e+05
5.4101332306253025e+05 -5.9952537132751162e+05
5.3909661975700478e+05 -6.0127085407484300e+05
5.3909661975700478e+05 6.0127085407484300e+05
7.8904262891601725e+05 1.7194568904380698e+05
7.8904262891601725e+05 -1.7194568904380698e+05
5.3717373044876428e+05 -6.0300849210893130e+05
5.3717373044876428e+05 6.0300849210893130e+05
-7.8166917374945502e+05 -2.0292569549453116e+05
-7.8166917374945502e+05 2.0292569549453116e+05
5.3524494035443105e+05 6.0473833821056050e+05
5.3524494035443105e+05 -6.0473833821056050e+05
7.8962547554500867e+05 1.6941888146862667e+05
7.8962547554500867e+05 -1.6941888146862667e+05
5.3331050737852149e+05 6.0646048693876271e+05
5.3331050737852149e+05 -6.0646048693876271e+05
5.3137068311602995e+05 -6.0817505882695201e+05
5.3137068311602995e+05 6.0817505882695201e+05
